Features,Shap value
Θερμ/σία (°C)_kalamata,[0.06462843]
Σχετ.Υγρασία  (%)_kozani,[0.05171667]
Θερμ/σία (°C)_kozani,[0.04919851]
Μέγιστη ένταση 3ώρου (knots)_kozani,[0.04499661]
Σχετ.Υγρασία  (%)_kalamata,[0.03563375]
Θερμ/σία (°C)_argos,[0.03070799]
Θερμ/σία (°C)_florina,[0.03042352]
Θερμ/σία (°C)_ioannina,[0.02760436]
Θερμ/σία (°C)_kavala,[0.02454198]
Σχετ.Υγρασία  (%)_florina,[0.02201662]
Διεύθυνση (°)_kavala,[0.02028739]
Σχετ.Υγρασία  (%)_ioannina,[0.02000038]
Ένταση (knots)_kalamata,[0.01840336]
Διεύθυνση (°)_kozani,[0.01649202]
Θερμ/σία (°C)_araxos,[0.01606719]
Θερμ/σία (°C)_agxialos,[0.01408858]
Σχετ.Υγρασία  (%)_argos,[0.0126543]
Σχετ.Υγρασία  (%)_agxialos,[0.01152817]
Ένταση (knots)_kavala,[0.00909824]
Διεύθυνση (°)_kalamata,[0.00808502]
Διεύθυνση (°)_argos,[0.0074708]
Μέγιστη ένταση 3ώρου (knots)_argos,[0.00710069]
Θερμ/σία (°C)_aktio,[0.0070686]
Μέγιστη ένταση 3ώρου (knots)_kavala,[0.00673481]
Σχετ.Υγρασία  (%)_kavala,[0.00671949]
Σχετ.Υγρασία  (%)_aktio,[0.00597521]
Διεύθυνση (°)_aktio,[0.00591145]
Διεύθυνση (°)_florina,[0.00578259]
Σχετ.Υγρασία  (%)_aleksandroupoli,[0.00551289]
Μέγιστη ένταση 3ώρου (knots)_florina,[0.00513565]
Σχετ.Υγρασία  (%)_araxos,[0.00485569]
Διεύθυνση (°)_agxialos,[0.00472039]
Μέγιστη ένταση 3ώρου (knots)_kalamata,[0.00388574]
Διεύθυνση (°)_araxos,[0.00363804]
Μέγιστη ένταση 3ώρου (knots)_araxos,[0.00341315]
Μέγιστη ένταση 3ώρου (knots)_agxialos,[0.00319952]
Ένταση (knots)_aktio,[0.00318487]
Θερμ/σία (°C)_aleksandroupoli,[0.00318217]
Ένταση (knots)_florina,[0.00304688]
Διεύθυνση (°)_aleksandroupoli,[0.003039]
Ένταση (knots)_argos,[0.00295486]
Ένταση (knots)_agxialos,[0.00252417]
Μέγιστη ένταση 3ώρου (knots)_aleksandroupoli,[0.00241123]
Ένταση (knots)_kozani,[0.00215932]
Μέγιστη ένταση 3ώρου (knots)_aktio,[0.00203236]
Ένταση (knots)_araxos,[0.00170344]
Διεύθυνση (°)_ioannina,[9.57660586e-05]
